district,is_incumbent,name,party,percent,state,votes,won,year,count_victories,unemployement_rate,is_presidential_year,president_can_be_re_elected,president_party,president_overall_avg_job_approval,last_D_house_seats,last_R_house_seats,last_house_majority,fundraising
District 1,0.0,William Adam Piper,D,47.7,California,10883,0,1872,0,0.0,1.0,0.0,R,0.5297887323943655,104.0,139.0,R,601890.7150000001
District 1,1.0,William Adam Piper,D,49.1,California,12417,1,1874,0,0.0,0.0,0.0,R,0.5297887323943656,89.0,203.0,R,601890.7150000001
District 3,1.0,John K. Luttrell ,D,55.1,California,18468,1,1874,0,0.0,0.0,0.0,R,0.4667777777777777,89.0,203.0,R,1179065.4766666668
District 3,0.0,C. B. Denio,R,24.7,California,8284,0,1874,0,0.0,0.0,0.0,R,0.4667777777777776,89.0,203.0,R,1179065.4766666668
District 2,1.0,Horace F. Page ,R,43.4,California,13624,1,1874,0,0.0,0.0,0.0,R,0.5282318840579704,89.0,203.0,R,622395.8750000001
District 1,1.0,Heilman,R,49.3,Indiana,12527,0,1874,0,0.0,0.0,0.0,R,0.525666666666666,89.0,203.0,R,552917.8374999999
District 2,0.0,Hy Larkin,D,38.8,California,12154,0,1874,0,0.0,0.0,0.0,R,0.5282318840579705,89.0,203.0,R,622395.8749999999
District 1,0.0,Ira P. Rankin,R,26.8,California,6791,0,1874,0,0.0,0.0,0.0,R,0.5297887323943656,89.0,203.0,R,601890.7150000001
District 4,0.0,Peter D. Wigginton,D,48.8,California,15649,1,1874,0,0.0,0.0,0.0,R,0.5300714285714281,89.0,203.0,R,1056491.225
District 4,1.0,Sherman Otis Houghton ,R,34.6,California,11090,0,1874,1,0.0,0.0,0.0,R,0.530071428571428,89.0,203.0,R,1056491.225
District 1,0.0,Benoni S. Fuller,D,50.7,Indiana,12864,1,1874,0,0.0,0.0,0.0,R,0.525666666666666,89.0,203.0,R,552917.8374999999
District 1,1.0,Benoni S. Fuller,D,50.6,Indiana,14727,1,1876,1,0.0,1.0,1.0,R,0.5256666666666661,183.0,106.0,D,552917.8374999999
District 3,1.0,John K. Luttrell ,D,51.1,California,19846,1,1876,1,0.0,1.0,1.0,R,0.4667777777777777,183.0,106.0,D,1179065.4766666668
District 1,0.0,C. A. Debruler,R,45.2,Indiana,13158,0,1876,0,0.0,1.0,1.0,R,0.5256666666666661,183.0,106.0,D,552917.8374999999
District 4,0.0,Romualdo Pacheco,R,50.0,California,19104,1,1876,0,0.0,1.0,1.0,R,0.5300714285714281,183.0,106.0,D,1056491.2249999999
District 4,1.0,Peter D. Wigginton ,D,50.0,California,19103,0,1876,0,0.0,1.0,1.0,R,0.530071428571428,183.0,106.0,D,1056491.225
District 3,0.0,Joseph McKenna,R,48.9,California,18990,0,1876,0,0.0,1.0,1.0,R,0.4667777777777777,183.0,106.0,D,1179065.4766666668
District 1,0.0,Horace Davis,R,53.3,California,22134,1,1876,0,0.0,1.0,1.0,R,0.5297887323943657,183.0,106.0,D,601890.7150000001
District 2,1.0,Horace F. Page ,R,56.7,California,20815,1,1876,1,0.0,1.0,1.0,R,0.5282318840579704,183.0,106.0,D,622395.8749999999
District 2,0.0,G. J. Carpenter,D,43.3,California,15916,0,1876,0,0.0,1.0,1.0,R,0.5282318840579705,183.0,106.0,D,622395.8749999999
District 1,1.0,William Adam Piper ,D,46.7,California,19363,0,1876,0,0.0,1.0,1.0,R,0.5297887323943657,183.0,106.0,D,601890.7150000001
District 1,0.0,Charles R. Summer,D,7.1,California,2940,0,1878,0,0.0,0.0,1.0,R,0.5297887323943657,157.0,136.0,D,601890.715
District 3,1.0,Joseph McKenna,R,49.6,California,19800,0,1878,0,0.0,0.0,1.0,R,0.4667777777777777,157.0,136.0,D,1179065.4766666668
District 3,0.0,Campbell Polson Berry,D,50.2,California,20019,1,1878,0,0.0,0.0,1.0,R,0.4667777777777777,157.0,136.0,D,1179065.4766666668
District 1,1.0,Horace Davis ,R,48.4,California,20074,1,1878,0,0.0,0.0,1.0,R,0.5297887323943657,157.0,136.0,D,601890.715
District 4,1.0,Romualdo Pacheco,R,40.5,California,15391,1,1878,1,0.0,0.0,1.0,R,0.530071428571428,157.0,136.0,D,1056491.2249999999
District 1,0.0,William Heilman,R,48.7,Indiana,13928,1,1878,0,0.0,0.0,1.0,R,0.5256666666666662,157.0,136.0,D,552917.8374999998
District 1,0.0,Thomas E. Garvin,D,48.7,Indiana,13928,0,1878,0,0.0,0.0,1.0,R,0.5256666666666662,157.0,136.0,D,552917.8374999998
