state,district,won,won_pred,rel_won_proba,correct_pred
West Virginia,District 2,1,1.0,0.9382296640162668,True
West Virginia,District 3,1,1.0,0.6835673443877459,True
Wisconsin,District 1,1,1.0,0.5339187438183675,True
Wisconsin,District 2,0,0.0,1.0,True
Wisconsin,District 3,0,0.0,0.9212109439814605,True
Wisconsin,District 4,0,0.0,0.9344012638313598,True
Wisconsin,District 5,1,1.0,0.9721413368622815,True
Wisconsin,District 6,1,1.0,0.9089412939719529,True
Wisconsin,District 7,1,1.0,0.9153952459535778,True
Wisconsin,District 8,1,1.0,0.9508568495245635,True
Wyoming,At-Large,1,1.0,0.8295514916401028,True
