request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Party:token,General_Party:id,General_Party,#_of_Records,Total_$
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WY&y=2016&c-t-p=3,s,WY,WY,y,2016,2016,c-t-p,3,Third-Party,2,600.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TN&y=2016&c-t-p=3,s,TN,TN,y,2016,2016,c-t-p,3,Third-Party,3,502.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2014&c-t-p=3,s,TX,TX,y,2014,2014,c-t-p,3,Third-Party,2,501.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CO&y=2018&c-t-p=3,s,CO,CO,y,2018,2018,c-t-p,3,Third-Party,1,500.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2018&c-t-p=3,s,OH,OH,y,2018,2018,c-t-p,3,Third-Party,1,300.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OR&y=2018&c-t-p=3,s,OR,OR,y,2018,2018,c-t-p,3,Third-Party,1,250.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=ME&y=2018&c-t-p=3,s,ME,ME,y,2018,2018,c-t-p,3,Third-Party,1,25.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AK&y=2012&c-t-p=3,s,AK,AK,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AK&y=2016&c-t-p=3,s,AK,AK,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AL&y=2010&c-t-p=3,s,AL,AL,y,2010,2010,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AR&y=2010&c-t-p=3,s,AR,AR,y,2010,2010,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AR&y=2012&c-t-p=3,s,AR,AR,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AR&y=2016&c-t-p=3,s,AR,AR,y,2016,2016,c-t-p,3,Third-Party,0,0.00
